ticket_id,subject,description,category,priority,resolution_time_hours
205135,System outage,System outage - please checking,Technical,Critical,1
201439,Change email address,Customer reports: Change email address,Account,Low,30
207821,Add custom fields to reports,Issues with: Add custom fields to reports,Feature Request,Low,39
208091,Need export to PDF feature,"Please help, need export to pdf feature",Feature Request,Low,8
201690,Account locked out,Help needed: Account locked out,Account,Low,18
201579,Unlock my user account,"Please help, unlock my user account",Account,Low,13
201761,Change email address,Getting error: Change email address,Account,High,8
206508,Page loading very slow,Urgent: Page loading very slow,Technical,High,8
205875,Integration not syncing data,Urgent: Integration not syncing data,Technical,High,7
201110,Change email address,Change email address - please checking,Account,Low,17
207109,API endpoint returning 500,API endpoint returning 500 - please checking,Technical,Critical,3
204226,Charge on my credit card is wrong,Customer reports: Charge on my credit card is wrong,Billing,Low,18
208257,Add dark mode support,Add dark mode support - please checking,Feature Request,Low,34
205377,System outage,System outage - please checking,Technical,Critical,2
205620,Screen freezes when clicking save,Screen freezes when clicking save,Technical,Low,11
205839,Screen freezes when clicking save,Screen freezes when clicking save - please checking,Technical,Low,22
201240,Profile picture upload failed,Profile picture upload failed,Account,High,7
200191,Cannot login to my account,"Please help, cannot login to my account",Account,Low,29
202984,Where is my receipt?,Where is my receipt? - please checking,Billing,Low,24
203381,Refund request,Getting error: Refund request,Billing,High,8
209768,Add dark mode support,Issues with: Add dark mode support,Feature Request,Medium,20
203087,Subscription renewal failed,"Please help, subscription renewal failed",Billing,High,5
203651,Where is my receipt?,"Please help, where is my receipt?",Technical,Low,33
207025,Error 404 not found,Getting error: Error 404 not found,Technical,High,2
207943,Need export to PDF feature,Urgent: Need export to PDF feature,Feature Request,High,6
201356,Forgot my password,Customer reports: Forgot my password,Account,Low,44
208816,Please add more user roles,Help needed: Please add more user roles,Feature Request,Low,25
206988,Error 404 not found,Error 404 not found - please checking,Technical,High,7
209188,Add custom fields to reports,Issues with: Add custom fields to reports,Feature Request,Low,37
200924,Need to update profile details,Urgent: Need to update profile details,Account,High,4
203569,Double charged for subscription,Double charged for subscription,Billing,Low,27
204355,Subscription renewal failed,Issues with: Subscription renewal failed,Billing,High,7
209798,Please add more user roles,Please add more user roles,Feature Request,Low,19
201721,Unlock my user account,Customer reports: Unlock my user account,Account,Low,8
204046,Double charged for subscription,Double charged for subscription - please checking,Billing,High,5
201738,Unlock my user account,Issues with: Unlock my user account,Account,Low,19
204047,Update credit card information,Urgent: Update credit card information,Billing,High,6
206550,System outage,Urgent: System outage,Technical,Critical,2
204695,Payment method declined,Issues with: Payment method declined,Billing,Low,42
202312,Profile picture upload failed,Profile picture upload failed,Account,High,5
203845,Payment method declined,Getting error: Payment method declined,Billing,Low,26
200021,Two-factor authentication issue,Help needed: Two-factor authentication issue,Account,Low,25
208254,Integration with Slack would be nice,Integration with Slack would be nice,Feature Request,Low,17
204150,Where is my receipt?,Getting error: Where is my receipt?,Billing,High,3
205587,System outage,Help needed: System outage,Technical,Critical,4
204315,Need invoice for last month,Need invoice for last month - please checking,Account,Low,34
201522,Unlock my user account,Unlock my user account - please checking,Account,Low,11
207557,Please add more user roles,Customer reports: Please add more user roles,Feature Request,Low,36
201856,Reset password link not working,Getting error: Reset password link not working,Account,Medium,16
206370,Database connection failed,Urgent: Database connection failed,Technical,High,4
204991,Double charged for subscription,Double charged for subscription - please checking,Billing,Low,42
207987,Requesting API documentation,Urgent: Requesting API documentation,Feature Request,High,5
201426,Forgot my password,Getting error: Forgot my password,Account,High,5
204195,Refund request,Getting error: Refund request,Billing,High,7
209191,Support for multiple languages,Issues with: Support for multiple languages,Feature Request,High,6
207044,Error 404 not found,Help needed: Error 404 not found,Technical,High,4
205603,Integration not syncing data,"Please help, integration not syncing data",Technical,Low,34
209565,Calendar view needed,Getting error: Calendar view needed,Feature Request,High,8
208820,Mobile responsive design request,Issues with: Mobile responsive design request,Feature Request,Low,36
203317,Where is my receipt?,"Please help, where is my receipt?",Billing,Low,41
209363,Integration with Slack would be nice,Help needed: Integration with Slack would be nice,Feature Request,Low,18
203710,Refund request,Issues with: Refund request,Billing,Low,21
208144,Add dark mode support,Add dark mode support,Technical,Low,31
205173,App crashes on startup,App crashes on startup,Technical,Critical,3
209243,Requesting API documentation,Issues with: Requesting API documentation,Billing,Low,25
206089,Integration not syncing data,"Please help, integration not syncing data",Technical,Low,23
207338,Error 404 not found,Issues with: Error 404 not found,Feature Request,High,7
202529,Need invoice for last month,Help needed: Need invoice for last month,Billing,Low,37
207157,App crashes on startup,App crashes on startup,Technical,Critical,2
206714,Error 404 not found,Error 404 not found - please checking,Technical,High,6
203565,Double charged for subscription,Getting error: Double charged for subscription,Billing,High,2
209475,Requesting API documentation,Requesting API documentation - please checking,Feature Request,Low,10
203932,Subscription renewal failed,Customer reports: Subscription renewal failed,Feature Request,High,6
204139,Update credit card information,Issues with: Update credit card information,Technical,Low,10
204868,Update credit card information,Getting error: Update credit card information,Billing,High,7
206912,Bug in the reporting widget,Customer reports: Bug in the reporting widget,Technical,Medium,19
207199,Database connection failed,Getting error: Database connection failed,Technical,High,8
206684,Screen freezes when clicking save,Issues with: Screen freezes when clicking save,Technical,Low,36
209906,Add dark mode support,Add dark mode support - please checking,Feature Request,Low,45
207485,API endpoint returning 500,"Please help, api endpoint returning 500",Technical,Low,32
203694,Upgrade my plan,Upgrade my plan,Billing,Medium,19
205155,Error 404 not found,Issues with: Error 404 not found,Technical,High,4
206815,Error 404 not found,Help needed: Error 404 not found,Account,High,8
202882,Double charged for subscription,Issues with: Double charged for subscription,Billing,Low,34
208954,Integration with Slack would be nice,Customer reports: Integration with Slack would be nice,Feature Request,Low,17
202263,Two-factor authentication issue,Issues with: Two-factor authentication issue,Account,Low,42
205422,Bug in the reporting widget,Bug in the reporting widget,Technical,Medium,21
200321,Unlock my user account,Customer reports: Unlock my user account,Account,Low,47
208753,Need export to PDF feature,Need export to PDF feature,Technical,Low,47
202414,Change email address,Urgent: Change email address,Account,High,4
209090,Calendar view needed,Help needed: Calendar view needed,Feature Request,Low,25
204817,Double charged for subscription,Help needed: Double charged for subscription,Billing,Low,24
207648,Support for multiple languages,Support for multiple languages,Feature Request,Low,40
